================================================================================
WMI Method Discovery Results
Date: Fri Jan  2 11:35:12 AM IST 2026
================================================================================

  [FOUND] Method 1: {0xff, 0x00}
  [FOUND] Method 2: {0xff, 0x00}
  [FOUND] Method 3: {0xff, 0x00}
  [FOUND] Method 4: {0xff, 0x00}
  [FOUND] Method 5: {0xff, 0x00}
  [FOUND] Method 6: {0xff, 0x00}
  [FOUND] Method 7: {0xff, 0x00}
  [FOUND] Method 8: {0xff, 0x00}
  [FOUND] Method 9: {0xff, 0x00}
  [FOUND] Method 10: {0xff, 0x00}
  [FOUND] Method 11: {0xff, 0x00}
  [FOUND] Method 12: {0xff, 0x00}
  [FOUND] Method 13: {0xff, 0x00}
  [FOUND] Method 14: {0xff, 0x00}
  [FOUND] Method 15: {0xff, 0x00}
  [FOUND] Method 16: {0xff, 0x00}
  [FOUND] Method 17: {0xff, 0x00}
  [FOUND] Method 18: {0xff, 0x00}
  [FOUND] Method 19: {0xff, 0x00}
  [FOUND] Method 20: {0xff, 0x00}
  [FOUND] Method 21: {0xff, 0x00}
  [FOUND] Method 22: {0xff, 0x00}
  [FOUND] Method 23: {0xff, 0x00}
  [FOUND] Method 24: {0xff, 0x00}
  [FOUND] Method 25: {0xff, 0x00}
  [FOUND] Method 26: {0xff, 0x00}
  [FOUND] Method 27: {0xff, 0x00}
  [FOUND] Method 28: {0xff, 0x00}
  [FOUND] Method 29: {0xff, 0x00}
  [FOUND] Method 30: {0xff, 0x00}
  [FOUND] Method 31: {0xff, 0x00}
  [FOUND] Method 32: {0xff, 0x00}
  [FOUND] Method 33: {0xff, 0x00}
  [FOUND] Method 34: {0xff, 0x00}
  [FOUND] Method 35: {0xff, 0x00}
  [FOUND] Method 36: {0xff, 0x00}
  [FOUND] Method 37: {0xff, 0x00}
  [FOUND] Method 38: {0xff, 0x00}
  [FOUND] Method 39: {0xff, 0x00}
  [FOUND] Method 40: {0xff, 0x00}
  [FOUND] Method 41: {0xff, 0x00}
  [FOUND] Method 42: {0xff, 0x00}
  [FOUND] Method 43: {0xff, 0x00}
  [FOUND] Method 44: {0xff, 0x00}
  [FOUND] Method 45: {0xff, 0x00}
  [FOUND] Method 46: {0xff, 0x00}
  [FOUND] Method 47: {0xff, 0x00}
  [FOUND] Method 48: {0xff, 0x00}
  [FOUND] Method 49: {0xff, 0x00}
  [FOUND] Method 50: {0xff, 0x00}
  [FOUND] Method 51: {0xff, 0x00}
  [FOUND] Method 52: {0xff, 0x00}
  [FOUND] Method 53: {0xff, 0x00}
  [FOUND] Method 54: {0xff, 0x00}
  [FOUND] Method 55: {0xff, 0x00}
  [FOUND] Method 56: {0xff, 0x00}
  [FOUND] Method 57: {0xff, 0x00}
  [FOUND] Method 58: {0xff, 0x00}
  [FOUND] Method 59: {0xff, 0x00}
  [FOUND] Method 60: {0xff, 0x00}
  [FOUND] Method 61: {0xff, 0x00}
  [FOUND] Method 62: {0xff, 0x00}
  [FOUND] Method 63: {0xff, 0x00}
  [FOUND] Method 64: {0xff, 0x00}
  [FOUND] Method 65: {0xff, 0x00}
  [FOUND] Method 66: {0xff, 0x00}
  [FOUND] Method 67: {0xff, 0x00}
  [FOUND] Method 68: {0xff, 0x00}
  [FOUND] Method 69: {0xff, 0x00}
  [FOUND] Method 70: {0xff, 0x00}
  [FOUND] Method 71: {0xff, 0x00}
  [FOUND] Method 72: {0xff, 0x00}
  [FOUND] Method 73: {0xff, 0x00}
  [FOUND] Method 74: {0xff, 0x00}
  [FOUND] Method 75: {0xff, 0x00}
  [FOUND] Method 76: {0xff, 0x00}
  [FOUND] Method 77: {0xff, 0x00}
  [FOUND] Method 78: {0xff, 0x00}
  [FOUND] Method 79: {0xff, 0x00}
  [FOUND] Method 80: {0xff, 0x00}
  [FOUND] Method 81: {0xff, 0x00}
  [FOUND] Method 82: {0xff, 0x00}
  [FOUND] Method 83: {0xff, 0x00}
  [FOUND] Method 84: {0xff, 0x00}
  [FOUND] Method 85: {0xff, 0x00}
  [FOUND] Method 86: {0xff, 0x00}
  [FOUND] Method 87: {0xff, 0x00}
  [FOUND] Method 88: {0xff, 0x00}
  [FOUND] Method 89: {0xff, 0x00}
  [FOUND] Method 90: {0xff, 0x00}
  [FOUND] Method 91: {0xff, 0x00}
  [FOUND] Method 92: {0xff, 0x00}
  [FOUND] Method 93: {0xff, 0x00}
  [FOUND] Method 94: {0xff, 0x00}
  [FOUND] Method 95: {0xff, 0x00}
  [FOUND] Method 96: {0xff, 0x00}
  [FOUND] Method 97: {0xff, 0x00}
  [FOUND] Method 98: {0xff, 0x00}
  [FOUND] Method 99: {0xff, 0x00}
  [FOUND] Method 100: {0xff, 0x00}
  [FOUND] Method 101: {0xff, 0x00}
  [FOUND] Method 102: {0xff, 0x00}
  [FOUND] Method 103: {0xff, 0x00}
  [FOUND] Method 104: {0xff, 0x00}
  [FOUND] Method 105: {0xff, 0x00}
  [FOUND] Method 106: {0xff, 0x00}
  [FOUND] Method 107: {0xff, 0x00}
  [FOUND] Method 108: {0xff, 0x00}
  [FOUND] Method 109: {0xff, 0x00}
  [FOUND] Method 110: {0xff, 0x00}
  [FOUND] Method 111: {0xff, 0x00}
  [FOUND] Method 112: {0xff, 0x00}
  [FOUND] Method 113: {0xff, 0x00}
  [FOUND] Method 114: {0xff, 0x00}
  [FOUND] Method 115: {0xff, 0x00}
  [FOUND] Method 116: {0xff, 0x00}
  [FOUND] Method 117: {0xff, 0x00}
  [FOUND] Method 118: {0xff, 0x00}
  [FOUND] Method 119: {0xff, 0x00}
  [FOUND] Method 120: {0xff, 0x00}
  [FOUND] Method 121: {0xff, 0x00}
  [FOUND] Method 122: {0xff, 0x00}
  [FOUND] Method 123: {0xff, 0x00}
  [FOUND] Method 124: {0xff, 0x00}
  [FOUND] Method 125: {0xff, 0x00}
  [FOUND] Method 126: {0xff, 0x00}
  [FOUND] Method 127: {0xff, 0x00}
  [FOUND] Method 128: {0xff, 0x00}
  [FOUND] Method 129: {0xff, 0x00}
  [FOUND] Method 130: {0xff, 0x00}
  [FOUND] Method 131: {0xff, 0x00}
  [FOUND] Method 132: {0xff, 0x00}
  [FOUND] Method 133: {0xff, 0x00}
  [FOUND] Method 134: {0xff, 0x00}
  [FOUND] Method 135: {0xff, 0x00}
  [FOUND] Method 136: {0xff, 0x00}
  [FOUND] Method 137: {0xff, 0x00}
  [FOUND] Method 138: {0xff, 0x00}
  [FOUND] Method 139: {0xff, 0x00}
  [FOUND] Method 140: {0xff, 0x00}
  [FOUND] Method 141: {0xff, 0x00}
  [FOUND] Method 142: {0xff, 0x00}
  [FOUND] Method 143: {0xff, 0x00}
  [FOUND] Method 144: {0xff, 0x00}
  [FOUND] Method 145: {0xff, 0x00}
  [FOUND] Method 146: {0xff, 0x00}
  [FOUND] Method 147: {0xff, 0x00}
  [FOUND] Method 148: {0xff, 0x00}
  [FOUND] Method 149: {0xff, 0x00}
  [FOUND] Method 150: {0xff, 0x00}
  [FOUND] Method 151: {0xff, 0x00}
  [FOUND] Method 152: {0xff, 0x00}
  [FOUND] Method 153: {0xff, 0x00}
  [FOUND] Method 154: {0xff, 0x00}
  [FOUND] Method 155: {0xff, 0x00}
  [FOUND] Method 156: {0xff, 0x00}
  [FOUND] Method 157: {0xff, 0x00}
  [FOUND] Method 158: {0xff, 0x00}
  [FOUND] Method 159: {0xff, 0x00}
  [FOUND] Method 160: {0xff, 0x00}
  [FOUND] Method 161: {0xff, 0x00}
  [FOUND] Method 162: {0xff, 0x00}
  [FOUND] Method 163: {0xff, 0x00}
  [FOUND] Method 164: {0xff, 0x00}
  [FOUND] Method 165: {0xff, 0x00}
  [FOUND] Method 166: {0xff, 0x00}
  [FOUND] Method 167: {0xff, 0x00}
  [FOUND] Method 168: {0xff, 0x00}
  [FOUND] Method 169: {0xff, 0x00}
  [FOUND] Method 170: {0xff, 0x00}
  [FOUND] Method 171: {0xff, 0x00}
  [FOUND] Method 172: {0xff, 0x00}
  [FOUND] Method 173: {0xff, 0x00}
  [FOUND] Method 174: {0xff, 0x00}
  [FOUND] Method 175: {0xff, 0x00}
  [FOUND] Method 176: {0xff, 0x00}
  [FOUND] Method 177: {0xff, 0x00}
  [FOUND] Method 178: {0xff, 0x00}
  [FOUND] Method 179: {0xff, 0x00}
  [FOUND] Method 180: {0xff, 0x00}
  [FOUND] Method 181: {0xff, 0x00}
  [FOUND] Method 182: {0xff, 0x00}
  [FOUND] Method 183: {0xff, 0x00}
  [FOUND] Method 184: {0xff, 0x00}
  [FOUND] Method 185: {0xff, 0x00}
  [FOUND] Method 186: {0xff, 0x00}
  [FOUND] Method 187: {0xff, 0x00}
  [FOUND] Method 188: {0xff, 0x00}
  [FOUND] Method 189: {0xff, 0x00}
  [FOUND] Method 190: {0xff, 0x00}
  [FOUND] Method 191: {0xff, 0x00}
  [FOUND] Method 192: {0xff, 0x00}
  [FOUND] Method 193: {0xff, 0x00}
  [FOUND] Method 194: {0xff, 0x00}
  [FOUND] Method 195: {0xff, 0x00}
  [FOUND] Method 196: {0xff, 0x00}
  [FOUND] Method 197: {0xff, 0x00}
  [FOUND] Method 198: {0xff, 0x00}
  [FOUND] Method 199: {0xff, 0x00}
  [FOUND] Method 200: {0xff, 0x00}
  [FOUND] Method 201: {0xff, 0x00}
  [FOUND] Method 202: {0xff, 0x00}
  [FOUND] Method 203: {0xff, 0x00}
  [FOUND] Method 204: {0xff, 0x00}
  [FOUND] Method 205: {0xff, 0x00}
  [FOUND] Method 206: {0xff, 0x00}
  [FOUND] Method 207: {0xff, 0x00}
  [FOUND] Method 208: {0xff, 0x00}
  [FOUND] Method 209: {0xff, 0x00}
  [FOUND] Method 210: {0xff, 0x00}
  [FOUND] Method 211: {0xff, 0x00}
  [FOUND] Method 212: {0xff, 0x00}
  [FOUND] Method 213: {0xff, 0x00}
  [FOUND] Method 214: {0xff, 0x00}
  [FOUND] Method 215: {0xff, 0x00}
  [FOUND] Method 216: {0xff, 0x00}
  [FOUND] Method 217: {0xff, 0x00}
  [FOUND] Method 218: {0xff, 0x00}
  [FOUND] Method 219: {0xff, 0x00}
  [FOUND] Method 220: {0xff, 0x00}
  [FOUND] Method 221: {0xff, 0x00}
  [FOUND] Method 222: {0xff, 0x00}
  [FOUND] Method 223: {0xff, 0x00}
  [FOUND] Method 224: {0xff, 0x00}
  [FOUND] Method 225: {0xff, 0x00}
  [FOUND] Method 226: {0xff, 0x00}
  [FOUND] Method 227: {0xff, 0x00}
  [FOUND] Method 228: {0xff, 0x00}
  [FOUND] Method 229: {0xff, 0x00}
  [FOUND] Method 230: {0xff, 0x00}
  [FOUND] Method 231: {0xff, 0x00}
  [FOUND] Method 232: {0xff, 0x00}
  [FOUND] Method 233: {0xff, 0x00}
  [FOUND] Method 234: {0xff, 0x00}
  [FOUND] Method 235: {0xff, 0x00}
  [FOUND] Method 236: {0xff, 0x00}
  [FOUND] Method 237: {0xff, 0x00}
  [FOUND] Method 238: {0xff, 0x00}
  [FOUND] Method 239: {0xff, 0x00}
  [FOUND] Method 240: {0xff, 0x00}
  [FOUND] Method 241: {0xff, 0x00}
  [FOUND] Method 242: {0xff, 0x00}
  [FOUND] Method 243: {0xff, 0x00}
  [FOUND] Method 244: {0xff, 0x00}
  [FOUND] Method 245: {0xff, 0x00}
  [FOUND] Method 246: {0xff, 0x00}
  [FOUND] Method 247: {0xff, 0x00}
  [FOUND] Method 248: {0xff, 0x00}
  [FOUND] Method 249: {0xff, 0x00}
  [FOUND] Method 250: {0xff, 0x00}
  [FOUND] Method 251: {0xff, 0x00}
  [FOUND] Method 252: {0xff, 0x00}
  [FOUND] Method 253: {0xff, 0x00}
  [FOUND] Method 254: {0xff, 0x00}
  [FOUND] Method 255: {0xff, 0x00}

================================================================================
Scan Complete!
================================================================================

